Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(SI),expr(LI),log(exprSI),log(exprLI)
AC090340.1,0,8.090125532,0.027,0,0,0.042981069,0.000142823,-1.366722783,-3.845201953
REG1B,0,7.572854288,0.377,0.026,0,12.81492475,0.067292055,1.10771606,-1.172036211
GIMD1,0,7.526608464,0.051,0,0,0.082485159,0.000432474,-1.083624185,-3.364040282
AL109920.1,0,7.132707209,0.07,0.001,0,0.156513031,0.001100464,-0.805449498,-2.958424106
MUCL3,5.23E-166,7.028440303,0.012,0,1.91E-161,0.074440434,0.000555388,-1.128191105,-3.255403248
NPC1L1,0,6.927229918,0.199,0.002,0,0.501691498,0.004107421,-0.299563259,-2.386430799
AP006216.3,4.32E-188,6.911823684,0.013,0,1.58E-183,0.042032235,0.000334261,-1.376417514,-3.475914903
ANXA10,0,6.874393591,0.059,0.001,0,0.281063678,0.002380746,-0.551195274,-2.623286871
GATA4,0,6.829815071,0.317,0.004,0,0.830434622,0.007285254,-0.080694553,-2.137555297
S100G,0,6.799357339,0.04,0.001,0,0.168607887,0.001498997,-0.773122115,-2.824199246
PGC,1.60E-101,6.791690889,0.011,0.002,5.85E-97,0.315276678,0.002830902,-0.501308154,-2.548075136
TM4SF4,0,6.745867815,0.397,0.016,0,3.307871871,0.030805739,0.519548679,-1.511368371
LCT,0,6.695659503,0.283,0.008,0,2.033953734,0.01960737,0.30834107,-1.707580658
FOLH1,0,6.56831563,0.406,0.008,0,2.048187381,0.021568125,0.311369686,-1.666187609
RBP2,0,6.508930507,0.774,0.059,0,23.9544474,0.263013756,1.379386157,-0.580021536
TMPRSS15,0,6.490103718,0.341,0.018,0,3.631094818,0.040379693,0.56003759,-1.393836986
APOA4,0,6.399461552,0.564,0.059,0,32.43735256,0.38423671,1.511045401,-0.415401145
ENPP7,0,6.364704646,0.122,0.002,0,0.348846626,0.004218451,-0.457365473,-2.374846987
SULT4A1,0,6.246782969,0.057,0.001,0,0.094307858,0.001227162,-1.025452121,-2.911098236
APOA1,0,6.171755822,0.576,0.064,0,35.9447896,0.498585347,1.555635946,-0.302260489
AQP10,0,6.107702091,0.052,0.001,0,0.158939657,0.002290097,-0.798767729,-2.64014612
APOC3,0,6.059580157,0.426,0.023,0,12.03653189,0.18044741,1.080501371,-0.743649347
VNN1,0,5.996603363,0.407,0.011,0,1.871635817,0.029298576,0.272221348,-1.533153487
SFRP5,0,5.952286224,0.103,0.002,0,0.165507276,0.002658352,-0.78118291,-2.57538754
NUDT11,0,5.869641829,0.03,0,0,0.042665569,0.000715053,-1.369922456,-3.145661536
AL035587.3,1.85E-143,5.864559231,0.01,0,6.76E-139,0.017307166,0.000282405,-1.761774046,-3.549127661
AL356010.2,0,5.819301677,0.048,0.001,0,0.12635072,0.00222303,-0.898422279,-2.653054653
MUC5AC,2.36E-109,5.793202451,0.01,0.001,8.64E-105,0.114240143,0.002045493,-0.942181261,-2.689201948
SLC34A2,0,5.706904747,0.026,0.001,0,0.049203531,0.000927393,-1.308003731,-3.032736022
PDX1,0,5.699358751,0.073,0.002,0,0.139905655,0.002677914,-0.854164732,-2.572203318
ASAH2,0,5.670102478,0.202,0.006,0,0.55152118,0.010816979,-0.258437805,-1.965894027
ONECUT2,0,5.625098732,0.273,0.008,0,0.683537907,0.013835086,-0.165237396,-1.859018139
SMLR1,0,5.620378943,0.16,0.003,0,0.291781866,0.005916804,-0.534941703,-2.227912786
REG3G,0,5.617644706,0.042,0.002,0,0.080801446,0.001631084,-1.092580869,-2.78752354
TFF2,2.00E-226,5.595437814,0.025,0.003,7.33E-222,0.327002538,0.006748699,-0.485448877,-2.170779919
DSG3,0,5.554624306,0.067,0.002,0,0.102603937,0.002168453,-0.988835974,-2.663849903
AL929091.1,6.44E-173,5.550358934,0.013,0.001,2.36E-168,0.02195992,0.00045405,-1.658369238,-3.342896238
CPNE6,0,5.515560816,0.026,0.001,0,0.045368247,0.000977207,-1.343248003,-3.010013263
CEACAM20,0,5.485758332,0.191,0.006,0,0.425299426,0.009476575,-0.371305204,-2.023348605
MSMB,8.51E-288,5.459013319,0.023,0.001,3.11E-283,0.091841524,0.002073386,-1.036960918,-2.683319815
ERICH4,0,5.403731432,0.189,0.006,0,0.361087067,0.008515052,-0.442388066,-2.069812688
ABCA4,1.34E-244,5.398221608,0.02,0.001,4.90E-240,0.068643948,0.001613198,-1.163397748,-2.79231244
TRPV6,0,5.376187009,0.042,0.001,0,0.099545086,0.00238227,-1.001980172,-2.623009089
APOB,0,5.352379269,0.559,0.047,0,10.33160231,0.252880933,1.014167681,-0.597083915
CREB3L3,0,5.348066941,0.398,0.013,0,1.305008461,0.032024938,0.115613327,-1.494511704
SCTR,0,5.297497878,0.149,0.005,0,0.309764339,0.007861889,-0.50896858,-2.104473114
DEFB131A,0,5.256846254,0.048,0.002,0,0.091828345,0.002387184,-1.037023244,-2.622114165
AC115619.1,0,5.256428394,0.048,0.001,0,0.080221552,0.002084232,-1.095708941,-2.681053921
NTS,1.24E-276,5.238703172,0.023,0.002,4.55E-272,1.16339243,0.030797516,0.065726233,-1.511484311
GABRP,0,5.225836719,0.03,0.002,0,0.103992701,0.002764429,-0.982997141,-2.558394555
SLC34A3,0,5.200076261,0.035,0.001,0,0.057581131,0.001551957,-1.239719809,-2.809120342
MUC6,8.21E-95,5.187076426,0.012,0.002,3.01E-90,0.131516433,0.003595627,-0.881019979,-2.444225373
ACMSD,4.88E-284,5.126589073,0.022,0.001,1.78E-279,0.069047031,0.00196205,-1.160854992,-2.707289997
TM4SF20,0,5.103557608,0.567,0.035,0,3.267697611,0.095028118,0.514241861,-1.022147873
CYP3A4,0,5.097555936,0.436,0.031,0,3.847860926,0.112368991,0.585219367,-0.949353519
CFAP221,0,5.078993642,0.113,0.004,0,0.208645901,0.006158384,-0.680590142,-2.210533243
F11,0,5.072785493,0.048,0.001,0,0.07725176,0.002280956,-1.112091615,-2.641883133
GGN,0,5.065625971,0.026,0.001,0,0.039649176,0.001169552,-1.401765832,-2.931980373
MS4A10,0,5.053988098,0.23,0.008,0,0.531685077,0.015990501,-0.274345529,-1.796137937
AC093583.1,0,5.038326668,0.024,0.001,0,0.048271809,0.001454573,-1.316306421,-2.837264489
RALYL,0,4.941075934,0.156,0.008,0,0.552187298,0.017960893,-0.257913588,-1.745672064
NR0B2,0,4.922576134,0.142,0.008,0,0.323375811,0.010648309,-0.490292469,-1.972719344
ALDOB,0,4.91780595,0.857,0.129,0,37.8676449,1.252726392,1.578268296,0.097856227
AADAC,0,4.904525105,0.384,0.018,0,1.099463289,0.036694601,0.041180733,-1.435397834
SULT2A1,0,4.899767403,0.232,0.009,0,0.544042435,0.018210195,-0.264367224,-1.739685407
NAT8,1.99E-255,4.889075348,0.02,0.001,7.29E-251,0.031796698,0.001058751,-1.497617982,-2.975206205
MEIS2,0,4.872703818,0.264,0.013,0,0.900395318,0.030718576,-0.045566772,-1.512598915
ABCG5,0,4.870946468,0.266,0.018,0,0.790880141,0.027013437,-0.101889329,-1.568420161
GLTPD2,0,4.869300351,0.112,0.005,0,0.210174258,0.007176449,-0.677420478,-2.144090412
SLC46A1,0,4.823256329,0.139,0.009,0,0.574714345,0.020286245,-0.240547963,-1.692798335
SLC2A2,0,4.816124583,0.373,0.017,0,1.306460918,0.046362279,0.116096423,-1.333835226
AC083902.1,0,4.756670498,0.062,0.002,0,0.110080437,0.004057774,-0.958289855,-2.391712192
ADCY2,0,4.744370204,0.182,0.011,0,0.586798896,0.02187807,-0.231510712,-1.659990991
CDH16,0,4.740629794,0.025,0.001,0,0.043279326,0.001604622,-1.363719515,-2.794627251
SOAT2,0,4.717234911,0.058,0.002,0,0.104560181,0.003960776,-0.980633672,-2.402219697
AC025580.3,0,4.699817766,0.047,0.002,0,0.084090473,0.003221429,-1.075253206,-2.491951439
SLC28A1,0,4.696098182,0.22,0.009,0,0.550117484,0.02120792,-0.259544552,-1.673501915
ALPI,0,4.689540396,0.266,0.019,0,0.789297899,0.030573618,-0.102759053,-1.51465317
AL133372.2,1.13E-134,4.667369146,0.01,0,4.12E-130,0.014114008,0.000541236,-1.850349641,-3.266612925
LINC02520,8.05E-183,4.634635354,0.013,0,2.95E-178,0.019587447,0.000774342,-1.708022164,-3.111067053
CCK,4.73E-73,4.624918785,0.018,0.007,1.73E-68,0.544756824,0.022064013,-0.263797321,-1.656315504
TENM3,0,4.62266786,0.127,0.005,0,0.272402035,0.011043116,-0.564789653,-1.956908353
PRDM16-DT,0,4.615774926,0.044,0.002,0,0.071989188,0.002921997,-1.142732722,-2.534320244
SLC5A4,0,4.614799493,0.063,0.002,0,0.104531334,0.004252152,-0.980753509,-2.371391256
GNAT3,5.49E-120,4.600669136,0.015,0.003,2.01E-115,0.212635619,0.008749723,-0.672363983,-2.058005676
AC114291.1,0,4.581467542,0.036,0.002,0,0.060159341,0.00249857,-1.220696927,-2.602308551
MTTP,0,4.570274348,0.62,0.046,0,3.957389115,0.166564411,0.597408755,-0.778417787
FTCD,0,4.552695939,0.034,0.001,0,0.058024363,0.002458231,-1.236389616,-2.609377324
CYP2C9,0,4.549475498,0.297,0.02,0,0.968772995,0.041356623,-0.013777976,-1.383454931
SERPINI2,0,4.537945723,0.059,0.002,0,0.093823258,0.00402468,-1.02768949,-2.395268697
ADGRG4,0,4.527684894,0.04,0.004,0,0.35080623,0.015194801,-0.454932703,-1.818304996
LINC02360,1.15E-194,4.519473743,0.015,0.001,4.21E-190,0.027306714,0.001176505,-1.563730552,-2.929406399
SMIM24,0,4.511834302,0.701,0.086,0,4.87937396,0.213864152,0.688364104,-0.669862005
SUSD2,0,4.494841768,0.082,0.004,0,0.153488288,0.006793486,-0.813924758,-2.167907291
APOC2,0,4.483714211,0.233,0.016,0,0.637778323,0.028491975,-0.195330246,-1.545277453
WNT9B,1.67E-137,4.451555939,0.011,0.001,6.10E-133,0.019871037,0.000894102,-1.701779469,-3.048613047
ADH4,0,4.447478556,0.118,0.007,0,0.252197147,0.01154481,-0.598259831,-1.937613203
SLC15A1,0,4.435991834,0.501,0.039,0,3.14398649,0.145235245,0.497480671,-0.837927978
NR1I3,2.98E-132,4.417475396,0.011,0.001,1.09E-127,0.020015381,0.000922587,-1.698636148,-3.034992612
CYP2D6,0,4.409851743,0.143,0.01,0,0.372258262,0.017498397,-0.429155654,-1.757001746
GATA5,0,4.397437942,0.115,0.008,0,0.175740764,0.008324921,-0.755127489,-2.079619868
MMP1,0,4.389731268,0.031,0.001,0,0.077352081,0.003676009,-1.111527998,-2.434623379
FOXQ1,0,4.384469966,0.031,0.003,0,0.069390612,0.003308309,-1.15869928,-2.48039391
SLC13A2,0,4.334696156,0.527,0.05,0,2.480735484,0.122929879,0.394580459,-0.910342546
LINC01697,0,4.327228142,0.032,0.001,0,0.042032555,0.002079931,-1.376414209,-2.68195102
REG1A,0,4.327196273,0.843,0.229,0,111.5008739,5.554708873,2.047278271,0.744661302
HAPLN2,1.48E-156,4.32416349,0.013,0.001,5.41E-152,0.024989242,0.00123354,-1.602246916,-2.908846828
G6PC,0,4.268790629,0.151,0.008,0,0.413072138,0.021414556,-0.383974098,-1.669290923
AC093898.1,0,4.252955344,0.142,0.007,0,0.3260247,0.017085561,-0.486749497,-1.767370762
AC242988.2,0,4.240073934,0.05,0.003,0,0.081435368,0.004295539,-1.089186935,-2.366982309
DPEP1,0,4.228327554,0.562,0.058,0,4.067949956,0.217017283,0.609375602,-0.663505679
CYP2C19,0,4.218392719,0.435,0.035,0,1.661256629,0.089229051,0.220436727,-1.049493725
AL360169.3,0,4.216929175,0.052,0.002,0,0.108419968,0.005816338,-0.964890724,-2.235350397
CIDEC,0,4.214784315,0.293,0.025,0,0.987235893,0.053153369,-0.005579064,-1.274469205
ACE,0,4.182804055,0.494,0.078,0,2.806578432,0.154521413,0.448177183,-0.811011329
PLUT,0,4.162485301,0.034,0.002,0,0.058066502,0.003228725,-1.236074339,-2.490968989
MME-AS1,0,4.143299835,0.043,0.002,0,0.081193517,0.004580915,-1.090478647,-2.339047786
KHK,0,4.141621667,0.572,0.059,0,2.535094264,0.143615021,0.403994113,-0.842800134
FBXO2,0,4.138146371,0.065,0.003,0,0.146332318,0.008296781,-0.834659747,-2.081090391
REEP6,0,4.121914049,0.464,0.044,0,1.387389212,0.079671522,0.142198313,-1.098696885
HRH2,0,4.116949216,0.073,0.002,0,0.110121284,0.006332837,-0.958128734,-2.198401683
ADORA2A-AS1,0,4.093794162,0.028,0.002,0,0.05815698,0.003392202,-1.235398151,-2.469518291
PRDM16,0,4.091753781,0.215,0.014,0,0.516500374,0.030278329,-0.28692936,-1.51886809
GABRA4,1.67E-244,4.05242529,0.025,0.003,6.13E-240,0.082092174,0.004933881,-1.085698243,-2.306811318
TENM3-AS1,0,4.031651365,0.028,0.001,0,0.042186331,0.002565665,-1.374828239,-2.590800105
AC009163.1,0,4.027319225,0.068,0.005,0,0.104562943,0.006398835,-0.980622203,-2.193899115
HAPLN4,0,4.023818782,0.081,0.007,0,0.14673588,0.009007064,-0.833463678,-2.045416735
LINC00659,1.09E-197,4.023801649,0.016,0.001,4.00E-193,0.02383117,0.001451318,-1.622854635,-2.83823745
AC007877.1,1.18E-245,4.022907297,0.021,0.001,4.32E-241,0.027950039,0.001705601,-1.553617581,-2.768122492
GPD1,0,4.021885804,0.242,0.02,0,0.468315719,0.028815302,-0.329461265,-1.540376826
MMP3,5.09E-238,4.013027877,0.02,0.001,1.86E-233,0.024872857,0.001526829,-1.604274323,-2.816209579
ABCG8,0,4.009587021,0.211,0.019,0,0.447352888,0.027760627,-0.349349755,-1.556570723
MME,0,4.002316946,0.666,0.063,0,5.373856518,0.335313329,0.730286067,-0.474549183
SLC6A19,0,4.000577892,0.477,0.035,0,1.868573752,0.11672535,0.271510244,-0.932834817
LINC01630,7.68E-166,3.990434043,0.014,0.001,2.81E-161,0.034521199,0.002158198,-1.461914123,-2.665908672
LRAT,0,3.961703624,0.035,0.003,0,0.059927414,0.003832513,-1.222374463,-2.416516377
CIDEB,0,3.956867815,0.282,0.024,0,0.694416215,0.044704462,-0.158380147,-1.34964913
CPA2,0,3.95606844,0.057,0.008,0,0.251364335,0.016182323,-0.599696342,-1.790959134
MRO,0,3.938240082,0.063,0.004,0,0.08838275,0.005751844,-1.053632489,-2.240192902
CD36,0,3.924477262,0.168,0.008,0,0.440708887,0.029010941,-0.355848192,-1.537438187
OXT,0,3.922238685,0.038,0.002,0,0.055841293,0.003669688,-1.253044531,-2.435370814
MYL4,2.11E-203,3.918182049,0.018,0.001,7.73E-199,0.029121816,0.001912652,-1.535781552,-2.718363971
DHDH,0,3.917902845,0.122,0.009,0,0.222509791,0.014707522,-0.652650873,-1.832460504
SIGLEC15,2.97E-124,3.899022458,0.011,0.001,1.09E-119,0.014054636,0.000928451,-1.852180411,-3.032241044
CCL25,0,3.891058579,0.63,0.053,0,3.595012741,0.24229845,0.555700434,-0.615649363
UGT3A1,0,3.888365428,0.043,0.004,0,0.072796601,0.004902187,-1.137888896,-2.309610148
FADS6,0,3.881537231,0.075,0.006,0,0.125527206,0.008503212,-0.901262137,-2.070416989
PITX1,0,3.862674054,0.067,0.004,0,0.102624941,0.007040981,-0.98874708,-2.152366803
CEACAM18,0,3.858808778,0.052,0.005,0,0.103664564,0.007131568,-0.984369674,-2.146814965
WDR49,0,3.847487644,0.156,0.01,0,0.338339376,0.023490485,-0.470647457,-1.62910802
SLC52A1,0,3.84497294,0.129,0.012,0,0.223079743,0.015510556,-0.651539865,-1.809372631
AL162725.2,0,3.835945595,0.032,0.002,0,0.054432042,0.003798121,-1.264145371,-2.420431161
SLC5A1,0,3.831149639,0.729,0.167,0,8.012978808,0.562979467,0.903793994,-0.249507444
SULT1C2,0,3.809163224,0.094,0.01,0,0.208762601,0.014879372,-0.680347301,-1.827415395
CYP4A11,3.71E-119,3.795396951,0.01,0.001,1.36E-114,0.019334603,0.001378988,-1.713664736,-2.860439595
CYP2C18,0,3.786567505,0.488,0.058,0,2.237902087,0.162156521,0.349841081,-0.790065583
ACOT12,1.19E-150,3.784854656,0.013,0.001,4.35E-146,0.019202629,0.001379636,-1.716639299,-2.860235361
TTC36,0,3.784548027,0.24,0.021,0,0.438165691,0.03178271,-0.358361631,-1.497809073
PDE10A,0,3.760117162,0.08,0.008,0,0.26597417,0.019616988,-0.575160538,-1.707367682
SLC5A4-AS1,0,3.750718294,0.06,0.005,0,0.091875276,0.006811767,-1.036801344,-2.166740234
CDR2L,0,3.738781931,0.112,0.01,0,0.186018576,0.013920347,-0.730443684,-1.856349943
KIFC3,0,3.723496308,0.259,0.018,0,0.665886425,0.050396452,-0.176599839,-1.297600039
SLC28A2,0,3.721472638,0.198,0.031,0,0.68032577,0.051561857,-0.167283078,-1.287671451
DIRAS2,6.93E-170,3.716781116,0.015,0.001,2.54E-165,0.025179917,0.001901631,-1.598945707,-2.720873734
MEP1B,0,3.699030153,0.28,0.022,0,0.737254255,0.056753851,-0.132382712,-1.246004663
TM6SF2,0,3.675265263,0.329,0.034,0,0.764915208,0.059861944,-0.116386704,-1.222849184
ANGPTL4,0,3.674034777,0.176,0.02,0,0.642558606,0.050327139,-0.192087255,-1.29819776
CPO,0,3.652534046,0.127,0.011,0,0.3249024,0.025822916,-0.488247081,-1.587994716
AL365226.2,0,3.651864163,0.166,0.02,0,0.527866978,0.041982204,-0.277475506,-1.376934762
PPP1R1A,0,3.649498848,0.033,0.003,0,0.046986536,0.003730852,-1.328026572,-2.428192012
GATM,0,3.635806648,0.327,0.03,0,0.860742892,0.069231325,-0.065126555,-1.159697359
TMEM25,0,3.632957679,0.27,0.026,0,0.47934299,0.038624843,-0.31935362,-1.413133269
SLC5A9,0,3.626153179,0.214,0.019,0,0.434834057,0.035202843,-0.361676449,-1.453422266
XPNPEP2,0,3.62584061,0.313,0.033,0,0.793075031,0.064229877,-0.100685723,-1.192262912
ZNF488,0,3.622550626,0.045,0.004,0,0.072822161,0.005899077,-1.137736436,-2.229215901
AL355838.1,8.52E-115,3.621375379,0.011,0.001,3.12E-110,0.026319496,0.00212526,-1.579722433,-2.67258801
SLC7A9,0,3.605168965,0.266,0.02,0,0.791067772,0.06499209,-0.101786308,-1.187139497
CA9,0,3.59624928,0.065,0.004,0,0.114643915,0.00946587,-0.940648993,-2.023839444
RHOBTB2,0,3.585113396,0.181,0.017,0,0.360255685,0.030004841,-0.443389158,-1.522808666
ACE2,0,3.579568189,0.384,0.046,0,1.321779857,0.110547623,0.121159129,-0.956450591
SCT,0,3.578336648,0.053,0.011,0,0.322916209,0.027020238,-0.490910155,-1.56831083
AC008609.1,0,3.575787696,0.045,0.004,0,0.065209798,0.005455503,-1.185687143,-2.263165187
LINC00330,7.60E-149,3.574142744,0.013,0.001,2.78E-144,0.017292141,0.001438546,-1.762151236,-2.842076198
RBP1,0,3.558002774,0.086,0.004,0,0.139223845,0.011807538,-0.856286376,-1.927840651
UGT2B7,0,3.557263974,0.234,0.029,0,0.565194963,0.047999295,-0.247801717,-1.31876514
CIART,0,3.557254187,0.037,0.003,0,0.063521525,0.005382815,-1.197079086,-2.268990538
ANPEP,0,3.551956719,0.853,0.248,0,18.40696087,1.569397282,1.264982089,0.195732896
MGAM,0,3.536327732,0.443,0.042,0,2.165006104,0.186589637,0.335459125,-0.72911248
LRRTM3,7.06E-119,3.53395081,0.01,0.001,2.58E-114,0.01537047,0.001313706,-1.813312857,-2.881501738
PDZD7,0,3.532211223,0.076,0.007,0,0.125170105,0.010806034,-0.902499384,-1.966333678
AC005703.3,3.45E-179,3.524612247,0.018,0.002,1.26E-174,0.031811534,0.002750952,-1.497415384,-2.560516979
SSUH2,0,3.518306706,0.066,0.009,0,0.165320504,0.01441491,-0.78167328,-1.841188077
FAM3B,0,3.47318814,0.699,0.061,0,2.554113724,0.229975466,0.407240231,-0.638318493
ADGRF1,0,3.472861887,0.057,0.007,0,0.149087501,0.013414632,-0.826558764,-1.872421251
SULT1C3,3.65E-241,3.469728976,0.021,0.002,1.34E-236,0.033073047,0.002972068,-1.480525798,-2.526941202
AL353807.5,0,3.461467657,0.061,0.004,0,0.091908121,0.008330322,-1.036646112,-2.079338197
C17orf78,0,3.451648337,0.186,0.018,0,0.363675838,0.033227121,-0.439285552,-1.478507286
CYBRD1,0,3.450054296,0.574,0.076,0,2.696705819,0.246740575,0.430833572,-0.607759427
ENPP2,0,3.419828992,0.206,0.016,0,0.43445035,0.040581547,-0.362059849,-1.391671399
ARHGAP28,1.91E-224,3.412419594,0.021,0.002,6.99E-220,0.035012463,0.003275264,-1.455777337,-2.484753677
CPS1,0,3.395343423,0.589,0.058,0,2.602396343,0.247314871,0.41537344,-0.606749769
RASSF9,7.73E-194,3.383849683,0.018,0.002,2.83E-189,0.027851043,0.002655016,-1.555158539,-2.575932903
KISS1,2.26E-252,3.382631006,0.025,0.003,8.28E-248,0.038148954,0.003644633,-1.418517367,-2.43834625
SEC14L2,0,3.379702188,0.155,0.015,0,0.267876606,0.025723045,-0.572065213,-1.589677614
SULT1E1,0,3.378610106,0.253,0.033,0,0.795125355,0.07643607,-0.099564398,-1.116701649
IGSF23,0,3.377937392,0.101,0.011,0,0.159217845,0.015302432,-0.798008259,-1.815239544
FAM151A,0,3.377026261,0.122,0.022,0,0.387241342,0.03726003,-0.412018283,-1.428756795
AC015917.2,4.14E-176,3.37212377,0.018,0.002,1.51E-171,0.034730302,0.003341208,-1.459291444,-2.476096519
TRIM54,0,3.370165912,0.066,0.008,0,0.099974602,0.009655652,-1.000110314,-2.015218393
MAF,0,3.358928714,0.345,0.028,0,0.893155287,0.087040943,-0.049073027,-1.06027641
RAMP1,0,3.33993126,0.432,0.052,0,1.268087577,0.125223143,0.103149248,-0.902315398
CLDN15,0,3.334597075,0.691,0.114,0,2.615348298,0.259235212,0.417529534,-0.586306009
APOBEC1,0,3.331907827,0.213,0.024,0,0.429209038,0.042612017,-0.367331141,-1.370467907
SMOX,0,3.328070901,0.082,0.009,0,0.146832715,0.014607881,-0.833177171,-1.835412777
C8G,0,3.321273742,0.099,0.012,0,0.211056837,0.021102264,-0.675600574,-1.675670947
PIK3C2G,0,3.294404593,0.303,0.037,0,0.937505033,0.095543273,-0.028026392,-1.019799887
ENPEP,0,3.2933455,0.503,0.065,0,2.04319424,0.208394799,0.310309656,-0.681113125
SLC6A20,0,3.289679926,0.231,0.025,0,0.442198683,0.045206482,-0.354382555,-1.344799288
UNC93A,6.49E-219,3.287868202,0.021,0.002,2.38E-214,0.031431942,0.003205335,-1.502628791,-2.494126571
KCNJ16,2.81E-165,3.286717385,0.015,0.001,1.03E-160,0.027055138,0.002759411,-1.567750239,-2.55918361
PHYHIPL,0,3.286553096,0.171,0.019,0,0.303992607,0.03114092,-0.517136978,-1.506668556
LINC00955,0,3.286246748,0.045,0.005,0,0.077303432,0.007910971,-1.111801224,-2.101770188
PRAP1,0,3.28513405,0.826,0.256,0,17.17775289,1.762135383,1.234966351,0.246039272
AC007126.1,3.27E-121,3.277912042,0.012,0.001,1.20E-116,0.015425388,0.001577392,-1.811763896,-2.802060304
CYP4F2,0,3.27740099,0.203,0.02,0,0.395910986,0.040819151,-0.402402447,-1.389136035
SLC2A5,0,3.275377792,0.329,0.042,0,0.993014189,0.102544821,-0.003044546,-0.989086268
PTGR1,0,3.274907282,0.78,0.21,0,6.444553695,0.66579279,0.809192847,-0.176660912
COL25A1,0,3.268524516,0.041,0.005,0,0.080991473,0.008391647,-1.091560704,-2.076152803
FBXO17,0,3.263178272,0.034,0.002,0,0.046714825,0.004852729,-1.330545273,-2.314013941
HTR1D,8.48E-212,3.257202008,0.02,0.002,3.10E-207,0.028373393,0.00295463,-1.547088723,-2.529496917
AC018730.1,2.50E-158,3.243155412,0.015,0.001,9.15E-154,0.021336067,0.002240459,-1.67088564,-2.649663064
C3orf85,0,3.239940665,0.447,0.089,0,2.253416069,0.238505617,0.352841387,-0.622501389
SLC7A7,0,3.237144991,0.338,0.031,0,0.962398719,0.102052231,-0.016644964,-0.991177496
MIR31HG,0,3.236035936,0.389,0.039,0,1.031678085,0.109483647,0.013544205,-0.960650743
ABCC2,0,3.235474799,0.14,0.015,0,0.301516742,0.032000871,-0.520688568,-1.494838203
CTSE,0,3.232895892,0.158,0.032,0,0.760501448,0.080878355,-0.118899955,-1.092167691
CFI,0,3.219736649,0.101,0.012,0,0.168387659,0.018061927,-0.77368974,-1.743235916
REG4,0,3.213291053,0.157,0.049,0,2.860157299,0.308371933,0.456389919,-0.510925157
AC061961.1,6.43E-174,3.205720468,0.017,0.002,2.35E-169,0.022888184,0.00246798,-1.640388661,-2.607658427
FABP6,0,3.198922097,0.269,0.084,0,33.33554111,3.630232752,1.522907509,0.559934471
EGFR-AS1,0,3.195563683,0.034,0.004,0,0.047064816,0.005124497,-1.327303635,-2.290348783
NELL2,0,3.192648177,0.291,0.032,0,1.071945955,0.117231027,0.03017289,-0.93095743
REEP1,0,3.187270941,0.102,0.012,0,0.199096717,0.021844671,-0.700935902,-1.660654495
FAM169B,1.09E-176,3.184623213,0.019,0.003,3.98E-172,0.0248902,0.002724747,-1.603971617,-2.56467376
ACKR4,0,3.184503502,0.077,0.01,0,0.118089363,0.012976322,-0.92778922,-1.886848394
AC061708.1,2.12E-243,3.183238888,0.022,0.002,7.74E-239,0.034878539,0.003826998,-1.457441717,-2.417141748
MYRFL,0,3.171547896,0.502,0.059,0,1.492995174,0.165689071,0.174058404,-0.780706137
PLLP,0,3.170728603,0.385,0.053,0,0.801388165,0.088980768,-0.096157075,-1.050703848
MALRD1,0,3.163728466,0.756,0.099,0,5.707814184,0.636918635,0.756469826,-0.195916044
RGN,7.36E-307,3.151988316,0.029,0.003,2.70E-302,0.049222771,0.005524871,-1.307833942,-2.257677886
TM4SF5,0,3.144792973,0.564,0.112,0,2.082333926,0.235423529,0.318550375,-0.628150135
AC021218.1,0,3.142343915,0.05,0.006,0,0.07496125,0.008477059,-1.125163181,-2.071754793
SLC5A11,0,3.139477573,0.122,0.014,0,0.222093174,0.025190623,-0.65346479,-1.598761096
TMEM92,0,3.138142677,0.26,0.039,0,0.514990637,0.058483016,-0.288200667,-1.232970239
XKR9,0,3.137386334,0.235,0.031,0,0.645481796,0.073343437,-0.190116002,-1.13463874
SERPINA1,0,3.136140965,0.368,0.121,0,3.706689662,0.421600017,0.568986227,-0.37509938
CTNNA3,0,3.123081945,0.135,0.025,0,0.353913137,0.04060874,-0.451103316,-1.39138049
MUC17,0,3.122685352,0.574,0.102,0,2.782236832,0.319414677,0.444394096,-0.495645132
AC009163.6,3.95E-246,3.109056085,0.026,0.003,1.45E-241,0.039923389,0.004614413,-1.398772599,-2.33588355
AC004816.2,7.18E-134,3.106082621,0.011,0.001,2.63E-129,0.015766156,0.001818381,-1.802274177,-2.740315132
PKLR,0,3.104420712,0.041,0.006,0,0.055632062,0.006455794,-1.254674846,-2.190050308
SEMA6C,0,3.103000692,0.036,0.004,0,0.05747951,0.006677185,-1.240486944,-2.175406577
AQP3,0,3.093211123,0.286,0.031,0,0.792961809,0.092906005,-0.100747729,-1.031956213
AGXT2,2.61E-221,3.092747589,0.025,0.004,9.57E-217,0.030760542,0.003593001,-1.512006014,-2.444542683
PDZK1,0,3.090427473,0.269,0.029,0,0.607482889,0.071309213,-0.21646595,-1.146854358
KRT72,0,3.084837711,0.027,0.002,0,0.10392878,0.012236542,-0.983264172,-1.912341294
DMBT1,0,3.077829874,0.577,0.168,0,6.446752624,0.763509962,0.809341006,-0.117185292
PAQR7,0,3.071708262,0.098,0.011,0,0.18613547,0.022126115,-0.73017086,-1.655094827
GSDME,0,3.070173166,0.107,0.01,0,0.217043941,0.025829818,-0.663452333,-1.587878647
